Results_Name,Projection
Results_Timestamp,1579369305
Results_Date,1,18,2020
Results_Time,13,41,45
Area,10.119898
Comp_Areas,10.119898
Comp_IDs,COIOAHQQEK
Comp_Names,FuselageBase
Direction,1.000000,0.000000,0.000000
Mesh_GeomID,CZPOJBKNES
Path,5.000000,0.449009,-0.959375,5.000000,0.934261,-0.825000,5.000000,1.322866,-0.578125,5.000000,1.336882,-0.547395,5.000000,1.351166,-0.521335,5.000000,1.364009,-0.502074,5.000000,1.403022,-0.451579,5.000000,1.610795,-0.200000,5.000000,1.484127,1.271928,5.000000,1.138781,2.263936,5.000000,0.626743,2.823976,5.000000,0.000000,3.000000,5.000000,-0.626743,2.823976,5.000000,-1.138781,2.263936,5.000000,-1.484127,1.271928,5.000000,-1.610795,-0.200000,5.000000,-1.403022,-0.451579,5.000000,-1.364009,-0.502074,5.000000,-1.351166,-0.521335,5.000000,-1.336882,-0.547395,5.000000,-1.322866,-0.578125,5.000000,-0.934261,-0.825000,5.000000,-0.449009,-0.959375,5.000000,0.000000,-1.000000,5.000000,0.449009,-0.959375
Planar_Path,5.000000,0.449009,-0.959375,5.000000,0.934261,-0.825000,5.000000,1.322866,-0.578125,5.000000,1.336882,-0.547395,5.000000,1.351166,-0.521335,5.000000,1.364009,-0.502074,5.000000,1.403022,-0.451579,5.000000,1.610795,-0.200000,5.000000,1.484127,1.271928,5.000000,1.138781,2.263936,5.000000,0.626743,2.823976,5.000000,0.000000,3.000000,5.000000,-0.626743,2.823976,5.000000,-1.138781,2.263936,5.000000,-1.484127,1.271928,5.000000,-1.610795,-0.200000,5.000000,-1.403022,-0.451579,5.000000,-1.364009,-0.502074,5.000000,-1.351166,-0.521335,5.000000,-1.336882,-0.547395,5.000000,-1.322866,-0.578125,5.000000,-0.934261,-0.825000,5.000000,-0.449009,-0.959375,5.000000,0.000000,-1.000000,5.000000,0.449009,-0.959375
